model,guarantee_level,matching_function,confidence_method,localization_method,classification_method,localization_prediction_set,classification_prediction_set,iou_threshold,confidence_set_sizes_mean,confidence_set_sizes_std,localization_set_sizes_mean,localization_set_sizes_std,classification_set_sizes_mean,classification_set_sizes_std,confidence_mean_risk,confidence_std_risk,localization_mean_risk,localization_std_risk,classification_mean_risk,classification_std_risk,global_mean_risk,global_std_risk,recall,precision
detr,image,hausdorff,box_count_threshold,pixelwise,binary,additive,lac,0.5,41.4044,20.510273,740.49445,115.96768,75.19046,7.9749346,0.056379761546850204,0.2161131203174591,0.0517602413892746,0.21339525282382965,0.05031213536858559,0.21158750355243683,0.033381056040525436,0.17706339061260223,0.6127356353341702,0.9829415699333346
detr,image,hausdorff,box_count_threshold,pixelwise,binary,additive,lac,0.8,41.4044,20.510273,740.49445,115.96768,75.19046,7.9749346,0.056379761546850204,0.2161131203174591,0.0517602413892746,0.21339525282382965,0.05031213536858559,0.21158750355243683,0.033381056040525436,0.17706339061260223,0.6022252526535554,0.9696068861204156
detr,image,hausdorff,box_count_threshold,pixelwise,binary,additive,aps,0.5,41.4044,20.510273,740.49445,115.96768,75.19046,7.9749346,0.056379761546850204,0.2161131203174591,0.0517602413892746,0.21339525282382965,0.05031213536858559,0.21158750355243683,0.033381056040525436,0.17706339061260223,0.6127356353341702,0.9829415699333346
detr,image,hausdorff,box_count_threshold,pixelwise,binary,additive,aps,0.8,41.4044,20.510273,740.49445,115.96768,75.19046,7.9749346,0.056379761546850204,0.2161131203174591,0.0517602413892746,0.21339525282382965,0.05031213536858559,0.21158750355243683,0.033381056040525436,0.17706339061260223,0.6022252526535554,0.9696068861204156
detr,image,hausdorff,box_count_threshold,pixelwise,binary,multiplicative,lac,0.5,41.4044,20.510273,2373.7415,2146.352,75.19046,7.9749346,0.05655311420559883,0.2159128189086914,0.05184097960591316,0.21318058669567108,0.05031213536858559,0.21158750355243683,0.03048577345907688,0.1708863526582718,0.6127356353341702,0.9829415699333346
detr,image,hausdorff,box_count_threshold,pixelwise,binary,multiplicative,lac,0.8,41.4044,20.510273,2373.7415,2146.352,75.19046,7.9749346,0.05655311420559883,0.2159128189086914,0.05184097960591316,0.21318058669567108,0.05031213536858559,0.21158750355243683,0.03048577345907688,0.1708863526582718,0.6022252526535554,0.9696068861204156
detr,image,hausdorff,box_count_threshold,pixelwise,binary,multiplicative,aps,0.5,41.4044,20.510273,2373.7415,2146.352,75.19046,7.9749346,0.05655311420559883,0.2159128189086914,0.05184097960591316,0.21318058669567108,0.05031213536858559,0.21158750355243683,0.03048577345907688,0.1708863526582718,0.6127356353341702,0.9829415699333346
detr,image,hausdorff,box_count_threshold,pixelwise,binary,multiplicative,aps,0.8,41.4044,20.510273,2373.7415,2146.352,75.19046,7.9749346,0.05655311420559883,0.2159128189086914,0.05184097960591316,0.21318058669567108,0.05031213536858559,0.21158750355243683,0.03048577345907688,0.1708863526582718,0.6022252526535554,0.9696068861204156
detr,image,hausdorff,box_count_threshold,boxwise,binary,additive,lac,0.5,41.4044,20.510273,896.232,116.17389,75.19046,7.9749346,0.056164197623729706,0.2170400321483612,0.05153205990791321,0.2143317312002182,0.05031213536858559,0.21158750355243683,0.03255390003323555,0.17747065424919128,0.6127356353341702,0.9829415699333346
detr,image,hausdorff,box_count_threshold,boxwise,binary,additive,lac,0.8,41.4044,20.510273,896.232,116.17389,75.19046,7.9749346,0.056164197623729706,0.2170400321483612,0.05153205990791321,0.2143317312002182,0.05031213536858559,0.21158750355243683,0.03255390003323555,0.17747065424919128,0.6022252526535554,0.9696068861204156
