Confidence Set Size (Mean),Confidence Risk (Mean),Localization Set Size (Mean),Localization Risk (Mean),Classification Set Size (Mean),Classification Risk (Mean),Global Risk (Mean),Confidence Alpha,Localization Alpha,Classification Alpha,Global Alpha,Matching Function,Confidence Method,Localization Method,Classification Prediction Set,Localization Prediction Set
18.855199813842773,0.012400000356137753,6.247283458709717,0.04639999940991402,69.88214874267578,0.05172517150640488,0.09428707510232925,0.02,0.05,0.05,0.1,mix,box_count_threshold,thresholded,lac,additive
18.855199813842773,0.012400000356137753,6.637406349182129,0.052000001072883606,69.88214874267578,0.05172517150640488,0.10211929678916931,0.02,0.05,0.05,0.1,mix,box_count_threshold,thresholded,lac,multiplicative
18.855199813842773,0.012400000356137753,6.247283458709717,0.04639999940991402,40.7515869140625,0.041781697422266006,0.08518075197935104,0.02,0.05,0.05,0.1,mix,box_count_threshold,thresholded,aps,additive
18.855199813842773,0.012400000356137753,6.637406349182129,0.052000001072883606,40.7515869140625,0.041781697422266006,0.09286051243543625,0.02,0.05,0.05,0.1,mix,box_count_threshold,thresholded,aps,multiplicative
18.855199813842773,0.012400000356137753,4.343535900115967,0.047701623290777206,69.88226318359375,0.05172517150640488,0.09201614558696747,0.02,0.05,0.05,0.1,mix,box_count_threshold,pixelwise,lac,additive
18.855199813842773,0.012400000356137753,4.1814494132995605,0.051652174443006516,69.88226318359375,0.05172517150640488,0.09799110144376755,0.02,0.05,0.05,0.1,mix,box_count_threshold,pixelwise,lac,multiplicative
18.855199813842773,0.012400000356137753,4.343535900115967,0.047701623290777206,40.7515869140625,0.041781697422266006,0.08157773315906525,0.02,0.05,0.05,0.1,mix,box_count_threshold,pixelwise,aps,additive
18.855199813842773,0.012400000356137753,4.1814494132995605,0.051652174443006516,40.7515869140625,0.041781697422266006,0.08851835131645203,0.02,0.05,0.05,0.1,mix,box_count_threshold,pixelwise,aps,multiplicative
18.855199813842773,0.012400000356137753,6.12105131149292,0.04322654381394386,69.88226318359375,0.05172517150640488,0.08832200616598129,0.02,0.05,0.05,0.1,mix,box_count_threshold,boxwise,lac,additive
18.855199813842773,0.012400000356137753,5.859281063079834,0.04954199865460396,69.88226318359375,0.05172517150640488,0.09607603400945663,0.02,0.05,0.05,0.1,mix,box_count_threshold,boxwise,lac,multiplicative
18.855199813842773,0.012400000356137753,6.12105131149292,0.04322654381394386,40.7515869140625,0.041781697422266006,0.07810847461223602,0.02,0.05,0.05,0.1,mix,box_count_threshold,boxwise,aps,additive
18.855199813842773,0.012400000356137753,5.859281063079834,0.04954199865460396,40.7515869140625,0.041781697422266006,0.08693815767765045,0.02,0.05,0.05,0.1,mix,box_count_threshold,boxwise,aps,multiplicative
11.710399627685547,0.0189005509018898,5.458196640014648,0.04560000076889992,67.58087158203125,0.053133103996515274,0.0935816764831543,0.02,0.05,0.05,0.1,mix,box_count_recall,thresholded,lac,additive
